Date,HT,AT,HS,AS
21/6/2008,La Serena,Audax Italiano,1,1
21/6/2008,Unión Española,Melipilla,1,0
22/6/2008,O'Higgins,Universidad de Concepcion,3,3
22/6/2008,Antofagasta,Palestino,0,3
22/6/2008,Huachipato,Cobreloa,1,2
22/6/2008,Ñublense,Rangers,2,2
22/6/2008,Santiago Morning,Universidad Catolica,1,0
9/7/2008,Everton,Cobresal,2,0
16/7/2008,Colo Colo,Osorno,4,1
28/6/2008,Osorno,Huachipato,3,1
28/6/2008,Universidad de Concepcion,Antofagasta,3,1
28/6/2008,Audax Italiano,Unión Española,0,0
28/6/2008,Palestino,O'Higgins,2,3
28/6/2008,Universidad Catolica,Everton,0,1
29/6/2008,Rangers,La Serena,2,1
29/6/2008,Cobreloa,Cobresal,1,1
29/6/2008,Melipilla,Colo Colo,0,2
29/6/2008,Universidad de Chile,Ñublense,2,1
5/7/2008,Unión Española,Universidad Catolica,1,4
5/7/2008,Everton,Universidad de Concepcion,2,1
5/7/2008,O'Higgins,Cobreloa,1,0
5/7/2008,La Serena,Melipilla,1,0
6/7/2008,Cobresal,Universidad de Chile,1,2
6/7/2008,Osorno,Ñublense,4,1
6/7/2008,Huachipato,Santiago Morning,1,1
6/7/2008,Antofagasta,Rangers,2,1
6/7/2008,Colo Colo,Palestino,0,0
12/7/2008,Palestino,Santiago Morning,1,1
12/7/2008,O'Higgins,Cobresal,3,0
12/7/2008,Cobreloa,Unión Española,1,1
12/7/2008,Universidad de Chile,Everton,1,2
13/7/2008,Rangers,Osorno,1,0
13/7/2008,Universidad de Concepcion,Colo Colo,1,2
13/7/2008,Antofagasta,Huachipato,0,2
13/7/2008,Audax Italiano,Melipilla,2,2
13/7/2008,Universidad Catolica,La Serena,1,1
19/7/2008,Huachipato,Universidad de Concepcion,1,1
19/7/2008,Unión Española,Universidad de Chile,1,4
19/7/2008,La Serena,Cobreloa,6,2
19/7/2008,Everton,Palestino,0,1
20/7/2008,Cobresal,Audax Italiano,1,2
20/7/2008,Santiago Morning,Antofagasta,2,1
20/7/2008,Melipilla,Ñublense,1,1
20/7/2008,Osorno,Universidad Catolica,2,4
20/7/2008,Colo Colo,Rangers,2,3
26/7/2008,Everton,La Serena,5,5
26/7/2008,Unión Española,Cobresal,1,1
26/7/2008,Universidad de Concepcion,Osorno,4,1
26/7/2008,Universidad de Chile,Melipilla,4,1
26/7/2008,O'Higgins,Santiago Morning,4,1
27/7/2008,Ñublense,Colo Colo,1,2
27/7/2008,Audax Italiano,Huachipato,0,3
27/7/2008,Cobreloa,Antofagasta,1,2
27/7/2008,Rangers,Palestino,1,1
2/8/2008,Palestino,Universidad de Concepcion,3,1
2/8/2008,Audax Italiano,Everton,2,1
2/8/2008,Universidad de Chile,Cobreloa,3,1
2/8/2008,Huachipato,Rangers,1,2
3/8/2008,Santiago Morning,Unión Española,1,2
3/8/2008,Cobresal,Ñublense,1,0
3/8/2008,Antofagasta,O'Higgins,2,1
3/8/2008,Melipilla,Osorno,3,1
3/8/2008,Universidad Catolica,Colo Colo,1,0
9/8/2008,Colo Colo,Audax Italiano,1,1
9/8/2008,La Serena,Universidad de Chile,2,2
9/8/2008,Osorno,Antofagasta,0,1
9/8/2008,Universidad de Concepcion,Santiago Morning,2,2
10/8/2008,Cobresal,Huachipato,2,2
10/8/2008,Cobreloa,Rangers,3,0
10/8/2008,Everton,Melipilla,2,1
10/8/2008,Ñublense,Palestino,2,1
10/8/2008,O'Higgins,Universidad Catolica,1,1
14/8/2008,Palestino,Universidad de Chile,0,3
15/8/2008,Universidad de Concepcion,Audax Italiano,1,1
16/8/2008,Osorno,Cobresal,0,3
17/8/2008,La Serena,Antofagasta,2,0
17/8/2008,Rangers,Everton,2,0
17/8/2008,Santiago Morning,Ñublense,2,2
17/8/2008,Universidad Catolica,Huachipato,0,4
20/8/2008,Melipilla,O'Higgins,2,1
27/8/2008,Colo Colo,Unión Española,2,1
23/8/2008,Huachipato,Palestino,1,2
23/8/2008,Audax Italiano,Osorno,1,2
23/8/2008,Universidad de Chile,Universidad de Concepcion,1,1
24/8/2008,Cobresal,La Serena,1,1
24/8/2008,Santiago Morning,Rangers,1,1
24/8/2008,Ñublense,Cobreloa,1,1
24/8/2008,O'Higgins,Colo Colo,0,3
24/8/2008,Antofagasta,Universidad Catolica,2,3
24/8/2008,Everton,Unión Española,2,0
30/8/2008,Palestino,Cobreloa,3,4
30/8/2008,Colo Colo,Santiago Morning,2,1
31/8/2008,Osorno,Universidad de Chile,1,2
31/8/2008,Universidad Catolica,Audax Italiano,2,4
31/8/2008,Melipilla,Cobresal,1,2
31/8/2008,Unión Española,La Serena,2,3
31/8/2008,Huachipato,Everton,2,1
31/8/2008,Rangers,O'Higgins,3,1
31/8/2008,Ñublense,Antofagasta,2,0
13/9/2008,Audax Italiano,Rangers,3,0
13/9/2008,O'Higgins,Ñublense,2,2
13/9/2008,La Serena,Universidad de Concepcion,2,1
13/9/2008,Cobresal,Universidad Catolica,3,1
14/9/2008,Unión Española,Palestino,1,3
14/9/2008,Everton,Santiago Morning,0,1
14/9/2008,Antofagasta,Colo Colo,1,0
14/9/2008,Cobreloa,Melipilla,2,0
14/9/2008,Universidad de Chile,Huachipato,1,3
20/9/2008,Osorno,O'Higgins,1,1
20/9/2008,Universidad de Concepcion,Cobreloa,2,0
20/9/2008,Palestino,Audax Italiano,1,0
20/9/2008,Antofagasta,Unión Española,1,1
20/9/2008,Rangers,Cobresal,2,1
20/9/2008,Santiago Morning,Universidad de Chile,0,3
21/9/2008,Huachipato,La Serena,4,1
21/9/2008,Melipilla,Universidad Catolica,3,5
21/9/2008,Ñublense,Everton,1,0
27/9/2008,La Serena,Ñublense,3,3
27/9/2008,Melipilla,Rangers,0,1
27/9/2008,Unión Española,Universidad de Concepcion,3,1
27/9/2008,Audax Italiano,O'Higgins,1,0
27/9/2008,Universidad de Chile,Antofagasta,3,0
27/9/2008,Cobreloa,Osorno,4,0
27/9/2008,Cobresal,Santiago Morning,4,1
27/9/2008,Everton,Colo Colo,3,1
27/9/2008,Universidad Catolica,Palestino,1,2
4/10/2008,Palestino,Cobresal,3,1
4/10/2008,Huachipato,Melipilla,2,1
4/10/2008,O'Higgins,Everton,4,3
5/10/2008,Osorno,La Serena,1,2
5/10/2008,Santiago Morning,Cobreloa,3,1
5/10/2008,Universidad de Concepcion,Universidad Catolica,3,5
5/10/2008,Ñublense,Unión Española,0,3
5/10/2008,Antofagasta,Audax Italiano,3,0
5/10/2008,Colo Colo,Universidad de Chile,2,0
18/10/2008,La Serena,O'Higgins,1,3
18/10/2008,Melipilla,Palestino,0,2
18/10/2008,Universidad Catolica,Rangers,2,0
18/10/2008,Universidad de Concepcion,Ñublense,1,1
19/10/2008,Audax Italiano,Universidad de Chile,0,1
19/10/2008,Cobreloa,Colo Colo,4,3
19/10/2008,Cobresal,Antofagasta,0,0
19/10/2008,Osorno,Santiago Morning,0,1
19/10/2008,Unión Española,Huachipato,3,2
24/10/2008,Colo Colo,La Serena,3,0
24/10/2008,O'Higgins,Unión Española,5,3
25/10/2008,Antofagasta,Melipilla,4,2
25/10/2008,Cobreloa,Everton,2,0
25/10/2008,Ñublense,Huachipato,0,1
25/10/2008,Palestino,Osorno,1,0
25/10/2008,Rangers,Universidad de Concepcion,2,3
25/10/2008,Santiago Morning,Audax Italiano,3,5
25/10/2008,Universidad de Chile,Universidad Catolica,2,2
31/10/2008,Melipilla,Santiago Morning,1,3
1/11/2008,Audax Italiano,Ñublense,1,1
1/11/2008,Everton,Osorno,3,1
1/11/2008,La Serena,Palestino,3,0
1/11/2008,Universidad Catolica,Cobreloa,4,3
2/11/2008,Cobresal,Universidad de Concepcion,1,3
2/11/2008,Huachipato,Colo Colo,0,2
2/11/2008,Universidad de Chile,O'Higgins,5,3
2/11/2008,Unión Española,Rangers,2,1
8/11/2008,Colo Colo,Cobresal,1,1
8/11/2008,Universidad de Concepcion,Melipilla,0,1
9/11/2008,Antofagasta,Everton,0,1
9/11/2008,Cobreloa,Audax Italiano,2,1
9/11/2008,Ñublense,Universidad Catolica,0,2
9/11/2008,O'Higgins,Huachipato,3,2
9/11/2008,Osorno,Unión Española,1,2
9/11/2008,Rangers,Universidad de Chile,1,0
9/11/2008,Santiago Morning,La Serena,3,2
31/1/2009,Curicó,Colo Colo,2,2
31/1/2009,Huachipato,Universidad de Concepcion,0,1
31/1/2009,Ñublense,Audax Italiano,2,1
31/1/2009,Everton,Unión Española,0,1
1/2/2009,Iquique,Universidad Catolica,0,4
1/2/2009,Cobresal,O'Higgins,1,1
1/2/2009,Santiago Morning,Cobreloa,2,0
1/2/2009,Rangers,La Serena,1,1
2/4/2009,Universidad de Chile,Palestino,3,0
6/2/2009,La Serena,Colo Colo,0,3
7/2/2009,Audax Italiano,Santiago Morning,1,1
7/2/2009,Palestino,O'Higgins,1,2
7/2/2009,Universidad Catolica,Cobresal,1,1
7/2/2009,Universidad de Concepcion,Everton,0,0
8/2/2009,Cobreloa,Ñublense,3,0
8/2/2009,Iquique,Curicó,1,0
8/2/2009,Unión Española,Huachipato,4,0
18/2/2009,Rangers,Universidad de Chile,0,4
13/2/2009,Everton,Iquique,1,0
14/2/2009,Colo Colo,Universidad de Concepcion,2,0
14/2/2009,La Serena,Universidad Catolica,1,2
14/2/2009,Ñublense,Santiago Morning,2,1
14/2/2009,Palestino,Audax Italiano,0,2
15/2/2009,Huachipato,Curicó,0,0
15/2/2009,Cobresal,Unión Española,1,3
15/2/2009,Universidad de Chile,Cobreloa,4,1
15/2/2009,O'Higgins,Rangers,1,0
